company,job_description,company_rating,location,salary_avg_estimate,educational_level,years_of_experience,skills_req,job_title
Deutsche Bank,Data Scientist,4.0,Pune,480000,Bachelors,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Wipro,Data Analyst,3.7,Bengaluru,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
NatWest Group,"Data Analyst, AVP",4.1,Gurgaon,480000,Bachelors,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Sanfoundry,Data Scientist,4.1,Gurgaon,360000,Diploma,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Telstra,Data Insights & Analytics Analyst,3.9,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Bullsmart,Data Scientist,4.1,Bengaluru,660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
BMC Software,Data Scientist,4.1,Pune,840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Reliance Games,Data Analytics,3.5,Pune,840000,Bachelors,5.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Hypersonix,Data Annotator - Contractor,5.0,Remote,480000,Bachelors,1.0,"Data Annotation, Data Labeling, Image Tagging, Quality Assurance, Python, Machine Learning",Data Annotator
eminenture,Data Analyst,4.1,Delhi,1320000,Masters,7.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Intercontinental Exchange,Data Analyst I,3.8,Hyderābād,480000,Bachelors,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Infifresh Foods,Data Analyst,3.6,Bengaluru,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
"Medpace, Inc.",Data Coordinator,3.4,Thāne,660000,Bachelors,2.5,"Python, Java, C++, System Administration, Cloud Computing, Security",Other
Valenta BPO,Data Analyst,3.2,Bengaluru,360000,Diploma,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
PhonePe,Senior Data Analyst,4.1,Bengaluru,1080000,Bachelors,7.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Tata Consultancy Services,"Data Science, Python, GraphDB",3.8,Bengaluru,1080000,PhD,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Syneos Health Clinical,Data Scientist I,3.8,Remote,840000,Bachelors,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Lloyds Technology Centre,Data Analyst,3.3,Hyderābād,840000,Bachelors,5.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Sectigo,Data Analyst,3.4,Chennai,480000,Bachelors,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Indium Software Inc.,Data Analyst,4.1,Bengaluru,1080000,Masters,5.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
HealthPlix Technologies,Junior Data Scientist,4.1,Bengaluru,600000,Diploma,5.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
WovV Technologies,Data Engineer (WFH),4.7,Remote,480000,Bachelors,1.0,"SQL, ETL, Big Data, Data Warehousing, Apache Spark, Hadoop",Data Engineer
Rotork,Data Analyst,3.7,Chennai,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Pocketly Infotech Private Limited,Data Analyst,4.1,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Wipro Limited,Data Privacy/Data Analyst,3.7,Bengaluru,660000,Bachelors,2.5,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Windmill Smart Solutions,Data Scientist,3.6,Remote,1080000,Masters,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Nielsen,Data Scientist,3.6,Bengaluru,480000,Bachelors,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Indium Software Inc.,Data Scientist,4.1,Bengaluru,840000,Bachelors,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Fractal Analytics,Cloud Data Engineer,4.0,Bengaluru,840000,Bachelors,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Kodehash Technologies Pvt Ltd,Data Engineer,4.1,Remote,360000,Diploma,1.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
HP,Data Analyst,4.1,Bengaluru,360000,Diploma,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
CityLink Technology Solutions,Data Scientist,3.7,Pune,360000,Diploma,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Warner Bros Careers,Associate Data Engineer,3.6,Hyderābād,480000,Bachelors,1.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
NIBS,MIS Data Analyst,4.1,Bengaluru,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Cargill,Data Engineer,4.1,Bengaluru,1320000,Masters,7.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Market Expertise,Data Research Analyst,4.1,Pune,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Dyson,Junior Data Engineer,3.0,Bengaluru,840000,Bachelors,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
ADCI MAA 12 SEZ,ML Data Associate I,3.7,Chennai,660000,Bachelors,2.5,"SQL, Python, Database Management, Web Development, Data Analysis",Other
Navig8 Group,Junior Data Analyst,4.1,Mumbai,480000,Diploma,2.5,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
CommerceIQ,Data Scientist 1,3.1,Bengaluru,660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Mapmygenome,Data Scientist,2.8,Hyderābād,1320000,Masters,7.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Dexcel Electronics Designs,Data Analytics,4.4,Bengaluru,480000,Bachelors,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Educate Girls,Data Analyst,3.8,Jaipur,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Cloudastra Technologies,Data Scientist,4.1,Noida,660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
LKQ India,Data Analyst,3.8,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
NEAR,Big Data Analyst,4.3,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Airtel India,Associate Data Scientist,4.1,India,660000,Bachelors,2.5,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Sanfoundry,Junior Machine Learning Engineer,4.1,Remote,1080000,Bachelors,7.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Equifax,Trainee - Data Scientist,3.5,Mumbai,780000,Other,9.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Comprinno Technologies,Jr Data Science Engineer,4.1,Remote,360000,Diploma,1.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Adfolks,Data Engineer,4.1,Remote,1560000,PhD,7.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Staffbee Solutions Pvt. Ltd,GCP Data Engineer (Freelance),4.1,Remote,840000,Bachelors,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
WCG,Jr. Data & Analytics Engineer,3.2,Karnataka,660000,Bachelors,2.5,"SQL, Python, Database Management, Web Development, Data Analysis",Other
RARR Technologies Pvt Ltd,Snowflake Data Modeler,4.7,Remote,660000,Bachelors,2.5,"Python, SQL, Project Management, Technical Writing, Agile, Scrum",Other
Thermo Fisher Scientific,Clinical Data Associate II,3.6,Remote,1320000,Masters,7.0,"Python, SQL, Project Management, Technical Writing, Agile, Scrum",Other
ZELL EDUCATION PRIVATE LIMITED,Data Analyst,4.1,Mumbai,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Fractal Analytics,Data Scientist,4.0,Bengaluru,660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Aptroid Consulting,Junior Data Analyst,3.8,Hyderābād,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Nasim Consulting Limited and Honest Love Our Planet,Data Engineer,4.1,Remote,480000,Bachelors,1.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Eduno Tech India Private Limited,Junior Data Analyst,4.1,Rewāri,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Quantiphi,Data Analyst,4.3,Mumbai,660000,Bachelors,2.5,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Agile CRM Inc.,Data Analyst,3.1,India,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Leegality,Data Analyst,4.1,India,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Samshek Fashion Pvt Ltd,Data Analyst,4.1,Remote,480000,Bachelors,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Cubera,Data Engineer- Junior,4.1,Bengaluru,840000,Bachelors,5.0,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
Airtel India,Data Analyst,4.1,Gurgaon,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Lightrains Technolabs,Data Scientist (ML & AI),4.1,Thiruvananthapuram,660000,Bachelors,2.5,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Bigtick Global,Data Analytics Intern,4.1,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Lemongrass Consulting,Associate Data Scientist,4.1,India,660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Hotspot Retail,Data Analyst,4.1,Remote,840000,Bachelors,5.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Riddhi Siddhi Career Point,Junior Data Analyst,4.1,India,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
RARR Technologies Pvt Ltd,Specialist- Data Sciences,4.7,Remote,480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Websar Technologies LLP,Data Scientist Gen AI,4.1,Remote,1320000,Masters,7.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Tata Consultancy Services,Data Analyst,3.8,Chennai,1800000,PhD,9.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Log9 Materials,Data Scientist,3.9,Bengaluru,1320000,Masters,7.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Codash Solutions,Data Engineer,4.1,Remote,1080000,Masters,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Nineleaps Technology Solutions Pvt Ltd,Data Analyst,4.2,Bengaluru,480000,Bachelors,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
adyog,Data Scientist,4.1,Chennai,1800000,PhD,9.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Amber Internet solutions,Data Analytics Intern,4.3,Pune,360000,Diploma,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Bradken,Data Scientist,4.3,Coimbatore,1560000,PhD,7.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
UBS,Data Analyst,3.9,Hyderābād,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
S&P Global,Data Analyst,4.1,Bengaluru,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
SeedApps Technology Services,Data Analyst,4.1,Coimbatore,840000,Bachelors,5.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Kovai.co,Data Analyst,4.5,Coimbatore,660000,Bachelors,2.5,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Vernacular.ai,Data Annotator,3.8,Bengaluru,480000,Bachelors,1.0,"Data Annotation, NLP, Text Tagging, Review and Quality Control, Annotation Tools",Data Annotator
Scienaptic Systems,Data Scientist,4.1,India,360000,Diploma,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
WovV Technologies,Data Scientist,4.7,Pune,660000,Bachelors,2.5,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
iXceed Solutions,Data Analyst,4.7,Gurgaon,660000,Bachelors,2.5,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
RARR Technologies Pvt Ltd,Azure Data Engineer,4.7,Remote,840000,Bachelors,5.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
kaleidofin,Data Analyst,3.4,Chennai,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Hotspot Retail,Data Scientist,4.1,Remote,660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Concord Technologies,Data Annotator,4.6,Chennai,480000,Bachelors,1.0,"Data Annotation, Data Labeling, Image Tagging, Quality Assurance, Python, Machine Learning",Data Annotator
Metyis,Data Science Associate,3.7,Bengaluru,1800000,PhD,9.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Vervali Systems Pvt. Ltd.,Data Engineer,4.1,Remote,480000,Bachelors,1.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Analyse Digital Business Solutions Pvt Ltd,Data Analyst,4.1,Thiruvananthapuram,1080000,Masters,5.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Intercontinental Exchange,Data Associate,3.8,Hyderābād,480000,Bachelors,1.0,"Python, SQL, Technical Writing, System Design, Software Development",Other
Cummins,Data Engineer,4.1,Pune,480000,Bachelors,1.0,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
Ericsson,Data Engineer,4.1,Noida,840000,Bachelors,5.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Valeo Health,Data Analyst,4.1,Kormangala,1560000,PhD,7.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
"Ventra Health, Inc.",Data Engineer,3.3,India,480000,Bachelors,1.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Orbit & Skyline Semiconductor,Data Analyst,4.1,Mohali,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Equifax,Data Scientist,3.5,Bengaluru,360000,Diploma,1.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Schneider Electric,Data Engineer,4.2,Bengaluru,1320000,Masters,7.0,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
Hyqoo,Data Scientist,4.5,Remote,480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
UBS,Data Engineer,3.9,Pune,660000,Bachelors,2.5,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Taurus Technologies Pvt. Ltd,Data Analyst,4.1,India,1080000,Masters,5.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Wipro,Azure Data Engineer,3.7,Hyderābād,480000,Bachelors,1.0,"SQL, ETL, Big Data, Data Warehousing, Apache Spark, Hadoop",Data Engineer
Amber Internet solutions,Data Analyst,4.3,Pune,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
SUPERDNA 3D LAB,Data Analyst,4.0,Chandigarh,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Honeywell,Data Scientist II,4.0,Bengaluru,480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Nineleaps,Data Engineer,4.1,Bengaluru,660000,Bachelors,2.5,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
BigShyft,Data Engineer,3.9,Gurgaon,480000,Bachelors,1.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Ambee,Data Scientist,4.1,Bengaluru,840000,Bachelors,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Nangia & Co LLP,Data Analyst,4.1,Chennai,480000,Bachelors,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
SmartHelio,Data Scientist,4.1,Delhi,1320000,Masters,7.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
InfoKrafts,Data Engineer,5.0,Mumbai,1560000,PhD,7.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Delivery Centric Technologies,Python & Data Modelling,4.0,Bengaluru,1320000,Masters,7.0,"Python, SQL, Technical Writing, System Design, Software Development",Other
Amadeus,Data Engineer 2,4.1,Bengaluru,1320000,Masters,7.0,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
ABB,Data Scientist,4.0,Bengaluru,840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Apple,Cloud Data Engineer,4.3,Hyderābād,840000,Bachelors,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Genzeon India,Data Engineer,4.2,Pune,840000,Bachelors,5.0,"SQL, Python, Data Warehousing, Data Architecture, ETL, AWS",Data Engineer
Victoria Realtors,Data Analyst,3.3,India,660000,Bachelors,2.5,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
MetLife,Associate Data Scientist,3.9,Hyderābād,840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
INTEL,Data Analyst,4.1,Bengaluru,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
ScaleIn,Data Scientist,4.1,Bengaluru,480000,Bachelors,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
MOLECULAR CONNECTIONS,Data Scientist,3.7,Remote,840000,Bachelors,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Finquest,Data Engineer,3.2,Bengaluru,840000,Bachelors,5.0,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Meesho,Data Scientist II,3.5,Bengaluru,1800000,PhD,9.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Toolyt,Data Analyst,4.8,Jaipur,360000,Diploma,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Thoucentric,Data Scientist,4.1,Bengaluru,1800000,PhD,9.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
PayU,Data Analyst,3.7,Bengaluru,1080000,Masters,5.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Konceive Development Center Pvt. Ltd.,Data Analyst,4.6,Panchkula,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
InitiateFirst.,Data Scientist,4.7,Bengaluru,1320000,Masters,7.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Cognizant Technology Solutions,Data Analyst,3.8,Mumbai,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Leaf workforcez,Data Engineer,4.1,Remote,660000,Bachelors,2.5,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
prwatech technologies,Data Analyst,4.1,India,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Haleon,Data Analyst,3.8,Gurgaon,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Whitespace Global,Data Analyst,4.1,Mumbai,660000,Bachelors,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Wild Fox Business Advocacy,Junior Data Analyst,4.1,Calcutta,360000,Diploma,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
PayPal,Data Scientist,3.9,Bengaluru,360000,Diploma,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
MiQ Digital,Data Scientist II,3.6,Bengaluru,1080000,Masters,5.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
velan,Data Analyst,4.6,Coimbatore,480000,Bachelors,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Upsquare Technologies,Data Scientist,4.1,India,660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Insticator Inc,Data Analyst,4.0,Remote,660000,Bachelors,2.5,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Pricelabs,Data Scientist (Remote),4.1,Pune,1320000,Masters,7.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Next Education,Data Analyst,3.7,Hyderābād,480000,Bachelors,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
"Ventra Health, Inc.",Data Analyst,3.3,India,480000,Bachelors,1.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
smartData Enterprises,Python Data Engineer freelancer,4.1,Remote,660000,Bachelors,2.5,"SQL, Python, ETL, Apache Kafka, Data Warehousing, Data Pipelines",Data Engineer
Aspire SoftServ,AI/ML Developer - Data Scientist,4.1,India,660000,Bachelors,2.5,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
"Swastiks Masalas, Pickles And Food Products Private Limited",Data Analyst,4.1,Bengaluru,360000,Diploma,1.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
IDFC FIRST Bank,Data Scientist-Cx Analytics,4.1,Mumbai,660000,Bachelors,2.5,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
CLOUDSUFI,Data Engineer,4.1,Noida,660000,Bachelors,2.5,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
Affine,Data Scientist,4.8,Bengaluru,1560000,PhD,7.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
